timestamp,event_type,task_id,gpu_id,npts
2000,START,155,4,11184270
2000,START,56,4,7904790
2000,START,11,8,11607666
2000,START,114,8,8799665
2000,START,128,12,11603040
2000,START,0,12,8727197
2000,START,98,16,11041144
2000,START,16,16,8986529
24000,START,85,20,9168905
24000,START,66,20,9337895
114000,START,3,24,12547303
114000,START,65,24,5389737
120000,START,15,28,9818475
120000,START,64,28,8505899
142000,FINISH,56,4,7904790
148000,FINISH,0,12,8727197
151000,FINISH,114,8,8799665
154000,FINISH,16,16,8986529
178000,FINISH,85,20,9168905
182000,FINISH,66,20,9337895
182000,START,24,20,11916176
182000,START,95,20,7968444
192000,START,33,32,11896061
192000,START,48,32,8531928
194000,FINISH,128,12,11603040
194000,START,28,12,8253909
194000,START,101,12,8108685
198000,FINISH,155,4,11184270
198000,START,93,4,9397782
198000,START,88,4,10707546
201000,FINISH,98,16,11041144
201000,START,6,16,8672705
201000,START,69,16,10450600
202000,FINISH,11,8,11607666
202000,START,135,8,11069821
202000,START,146,8,9273510
206000,FINISH,65,24,5389737
265000,FINISH,64,28,8505899
272000,INTERRUPT,135,8,11069821
272000,INTERRUPT,146,8,9273510
286000,FINISH,15,28,9818475
286000,START,135,28,11069821
286000,START,146,28,9273510
329000,FINISH,95,20,7968444
330000,START,17,8,8890203
330000,START,124,8,10376612
333000,FINISH,28,12,8253909
338000,FINISH,3,24,12547303
338000,START,157,24,11169272
338000,START,156,24,8713996
339000,FINISH,101,12,8108685
339000,START,152,12,9764753
339000,START,130,12,10445152
345000,FINISH,48,32,8531928
351000,FINISH,6,16,8672705
372000,FINISH,93,4,9397782
381000,FINISH,24,20,11916176
381000,FINISH,69,16,10450600
381000,START,154,16,11683882
381000,START,20,16,8145837
381000,START,67,20,10150364
381000,START,100,20,9768686
386000,FINISH,88,4,10707546
386000,START,111,4,9482563
386000,START,131,4,10931236
391000,FINISH,33,32,11896061
391000,START,109,32,11329692
391000,START,94,32,8006598
454000,FINISH,146,28,9273510
474000,INTERRUPT,67,20,10150364
474000,INTERRUPT,100,20,9768686
482000,FINISH,135,28,11069821
482000,START,67,28,10150364
482000,START,100,28,9768686
483000,FINISH,17,8,8890203
489000,FINISH,156,24,8713996
508000,FINISH,152,12,9764753
515000,FINISH,124,8,10376612
515000,START,63,8,11697547
515000,START,112,8,8112870
521000,FINISH,130,12,10445152
521000,FINISH,20,16,8145837
521000,START,70,12,9523927
521000,START,31,12,9229031
533000,FINISH,94,32,8006598
534000,START,23,20,7830895
534000,START,144,20,10794100
540000,FINISH,157,24,11169272
540000,START,81,24,12542848
540000,START,4,24,7503288
552000,FINISH,111,4,9482563
569000,FINISH,131,4,10931236
569000,START,2,4,12542930
569000,START,87,4,7008169
584000,FINISH,154,16,11683882
584000,START,96,16,10828333
584000,START,38,16,9607806
594000,FINISH,109,32,11329692
594000,START,46,32,9370337
594000,START,150,32,10569581
652000,FINISH,112,8,8112870
655000,FINISH,67,28,10150364
662000,FINISH,100,28,9768686
662000,START,142,28,11494832
662000,START,80,28,8499342
665000,INTERRUPT,46,32,9370337
665000,INTERRUPT,150,32,10569581
672000,FINISH,23,20,7830895
674000,FINISH,4,24,7503288
677000,FINISH,31,12,9229031
687000,FINISH,70,12,9523927
687000,START,46,12,9370337
687000,START,150,12,10569581
689000,FINISH,87,4,7008169
715000,FINISH,144,20,10794100
715000,START,122,20,12537303
722000,FINISH,63,8,11697547
722000,START,41,8,12265045
722000,START,137,8,7991280
756000,FINISH,38,16,9607806
759000,FINISH,81,24,12542848
759000,START,25,24,10599782
759000,START,71,24,8686886
778000,FINISH,96,16,10828333
778000,START,108,16,12504656
792000,FINISH,2,4,12542930
792000,START,42,4,12542987
810000,FINISH,80,28,8499342
845000,FINISH,46,12,9370337
853000,FINISH,137,8,7991280
867000,FINISH,150,12,10569581
867000,START,49,12,9883644
867000,START,77,12,9582446
869000,FINISH,142,28,11494832
