timestamp,event_type,task_id,gpu_id,npts
878000,FINISH,15,8,9818475
894000,FINISH,130,8,10445152
894000,START,74,8,12533815
915000,FINISH,139,56,9300566
916000,FINISH,30,52,9657794
921000,FINISH,77,36,9582446
935000,FINISH,144,36,10794100
935000,START,55,36,11919815
942000,FINISH,22,28,12547620
942000,START,63,28,11697547
949000,FINISH,159,56,10920575
949000,START,91,56,9851823
949000,START,70,56,9523927
950000,FINISH,58,44,9394329
958000,FINISH,125,48,11160080
958000,START,69,48,10450600
958000,START,76,48,9912422
968000,FINISH,107,20,11412193
968000,START,103,20,11624736
970000,FINISH,46,16,9370337
972000,FINISH,131,44,10931236
972000,START,134,44,11273100
976000,FINISH,92,12,12035631
976000,START,97,12,10151058
976000,START,75,12,9381209
977000,FINISH,150,52,10569581
977000,START,99,52,12098702
982000,FINISH,142,4,11494832
982000,START,54,4,10809605
984000,FINISH,60,16,10261200
984000,START,43,16,11034601
1009000,FINISH,81,32,12542848
1009000,START,90,32,12547588
1016000,FINISH,149,24,12543296
1016000,START,129,24,12547717
1020000,FINISH,111,40,9482563
1023000,FINISH,49,40,9883644
1023000,START,37,40,12544293
1112000,FINISH,74,8,12533815
1112000,START,40,8,10950623
1115000,FINISH,70,56,9523927
1124000,FINISH,91,56,9851823
1124000,START,35,56,11419882
1125000,FINISH,76,48,9912422
1135000,FINISH,54,4,10809605
1135000,START,51,4,12546842
1138000,FINISH,69,48,10450600
1138000,START,136,48,10960345
1141000,FINISH,55,36,11919815
1141000,START,47,36,11975936
1142000,FINISH,75,12,9381209
1146000,FINISH,90,32,12547588
1146000,START,45,32,10878107
1149000,FINISH,63,28,11697547
1149000,START,89,28,12548092
1160000,FINISH,97,12,10151058
1160000,START,124,12,10376612
1172000,FINISH,103,20,11624736
1172000,START,102,20,11503522
1173000,FINISH,43,16,11034601
1173000,START,113,16,11761672
1174000,FINISH,134,44,11273100
1174000,START,73,44,11582976
1196000,FINISH,99,52,12098702
1196000,START,140,52,10731156
1240000,FINISH,37,40,12544293
1240000,START,61,40,10424581
1243000,FINISH,129,24,12547717
1243000,START,52,24,11313061
1301000,FINISH,40,8,10950623
1301000,START,53,8,11435672
1322000,FINISH,73,44,11582976
1322000,START,115,44,11363352
1328000,FINISH,35,56,11419882
1328000,START,151,56,12550654
1333000,FINISH,136,48,10960345
1333000,START,33,48,11896061
1334000,FINISH,45,32,10878107
1334000,START,155,32,11184270
1342000,FINISH,47,36,11975936
1342000,START,18,36,12089929
1345000,FINISH,124,12,10376612
1345000,START,78,12,12552648
1348000,FINISH,51,4,12546842
1361000,FINISH,89,28,12548092
1382000,FINISH,140,52,10731156
1385000,FINISH,113,16,11761672
1386000,FINISH,102,20,11503522
1416000,FINISH,61,40,10424581
1437000,FINISH,52,24,11313061
1496000,FINISH,53,8,11435672
1520000,FINISH,115,44,11363352
1530000,FINISH,155,32,11184270
1532000,FINISH,33,48,11896061
1548000,FINISH,18,36,12089929
1551000,FINISH,151,56,12550654
1561000,FINISH,78,12,12552648
