timestamp,event_type,task_id,gpu_id,npts
2000,START,133,4,11415893
2000,START,71,4,8686886
2000,START,65,8,5389737
2000,START,46,8,9370337
2000,START,34,12,11702256
2000,START,64,12,8505899
2000,START,127,16,8219772
2000,START,11,16,11607666
24000,START,83,20,10262333
24000,START,104,20,8010020
94000,FINISH,65,8,5389737
114000,START,148,24,12548512
114000,START,23,24,7830895
120000,START,110,28,11339716
120000,START,112,28,8112870
146000,FINISH,127,16,8219772
147000,FINISH,64,12,8505899
150000,FINISH,71,4,8686886
160000,FINISH,46,8,9370337
160000,START,33,8,11896061
160000,START,28,8,8253909
161000,FINISH,104,20,8010020
186000,FINISH,133,4,11415893
186000,START,42,4,12542987
186000,START,56,4,7904790
192000,START,18,32,12089929
192000,START,137,32,7991280
198000,FINISH,83,20,10262333
198000,START,36,20,8226717
198000,START,32,20,11126248
199000,FINISH,34,12,11702256
199000,START,143,12,9207969
199000,START,14,12,8881830
202000,FINISH,11,16,11607666
202000,START,115,16,11363352
202000,START,0,16,8727197
252000,FINISH,23,24,7830895
254000,FINISH,110,28,11339716
257000,FINISH,112,28,8112870
257000,START,116,28,10181515
257000,START,60,28,10261200
272000,INTERRUPT,33,8,11896061
272000,INTERRUPT,28,8,8253909
323000,FINISH,137,32,7991280
326000,FINISH,56,4,7904790
329000,FINISH,148,24,12548512
329000,START,121,24,9666046
329000,START,25,24,10599782
330000,START,2,8,12542930
330000,START,87,8,7008169
338000,FINISH,36,20,8226717
348000,FINISH,0,16,8727197
349000,FINISH,14,12,8881830
369000,FINISH,143,12,9207969
369000,START,13,12,11440466
369000,START,5,12,8918796
395000,FINISH,32,20,11126248
395000,START,147,20,9463677
395000,START,70,20,9523927
398000,FINISH,18,32,12089929
398000,START,108,32,12504656
398000,START,4,32,7503288
400000,FINISH,115,16,11363352
400000,START,75,16,9381209
400000,START,54,16,10809605
405000,FINISH,42,4,12542987
405000,START,21,4,10766274
405000,START,19,4,8845199
429000,FINISH,60,28,10261200
435000,FINISH,116,28,10181515
435000,START,85,28,9168905
435000,START,66,28,9337895
450000,FINISH,87,8,7008169
474000,INTERRUPT,147,20,9463677
474000,INTERRUPT,70,20,9523927
501000,FINISH,121,24,9666046
508000,FINISH,25,24,10599782
508000,START,73,24,11582976
508000,START,80,24,8499342
531000,FINISH,5,12,8918796
532000,FINISH,4,32,7503288
534000,START,90,20,12547588
553000,FINISH,2,8,12542930
553000,FINISH,54,16,10809605
553000,START,37,8,12544293
558000,FINISH,19,4,8845199
561000,FINISH,13,12,11440466
561000,START,98,12,11041144
561000,START,156,12,8713996
566000,FINISH,75,16,9381209
566000,START,103,16,11624736
566000,START,94,16,8006598
587000,FINISH,21,4,10766274
587000,START,49,4,9883644
587000,START,111,4,9482563
589000,FINISH,85,28,9168905
593000,FINISH,66,28,9337895
593000,START,91,28,9851823
593000,START,68,28,9112263
617000,FINISH,108,32,12504656
617000,START,22,32,12547620
656000,FINISH,73,24,11582976
656000,FINISH,80,24,8499342
656000,START,29,24,12197790
656000,START,101,24,8108685
665000,INTERRUPT,22,32,12547620
671000,FINISH,90,20,12547588
671000,START,106,20,9138707
671000,START,93,20,9397782
708000,FINISH,94,16,8006598
712000,FINISH,156,12,8713996
751000,FINISH,68,28,9112263
753000,FINISH,111,4,9482563
756000,FINISH,49,4,9883644
756000,START,55,4,11919815
756000,START,48,4,8531928
760000,FINISH,98,12,11041144
760000,START,147,12,9463677
760000,START,67,12,10150364
768000,FINISH,91,28,9851823
768000,START,15,28,9818475
768000,START,16,28,8986529
770000,FINISH,37,8,12544293
770000,FINISH,103,16,11624736
770000,START,1,8,12550781
770000,START,8,16,9829585
770000,START,72,16,10552608
801000,FINISH,101,24,8108685
828000,FINISH,106,20,9138707
845000,FINISH,93,20,9397782
845000,START,109,20,11329692
845000,START,17,20,8890203
868000,FINISH,29,24,12197790
868000,START,43,24,11034601
868000,START,105,24,9128248
882000,INTERRUPT,15,28,9818475
882000,INTERRUPT,16,28,8986529
909000,FINISH,48,4,8531928
913000,FINISH,72,16,10552608
924000,FINISH,8,16,9829585
924000,START,53,16,11435672
924000,START,84,16,8715480
928000,FINISH,147,12,9463677
933000,FINISH,67,12,10150364
933000,START,20,12,8145837
933000,START,107,12,11412193
962000,FINISH,55,4,11919815
962000,START,79,4,12182656
962000,START,95,4,7968444
978000,START,61,28,10424581
978000,START,26,28,9748148
998000,FINISH,17,20,8890203
1009000,FINISH,1,8,12550781
1009000,START,77,8,9582446
1009000,START,145,8,8612527
1025000,FINISH,105,24,9128248
1048000,FINISH,109,20,11329692
1048000,START,63,20,11697547
1048000,START,50,20,8159611
1057000,FINISH,43,24,11034601
1057000,START,41,24,12265045
1071000,FINISH,84,16,8715480
1073000,FINISH,20,12,8145837
1109000,FINISH,95,4,7968444
1119000,FINISH,53,16,11435672
1119000,START,155,16,11184270
1119000,START,28,16,8253909
1128000,FINISH,107,12,11412193
1128000,START,154,12,11683882
1128000,START,6,12,8672705
1144000,FINISH,26,28,9748148
1154000,FINISH,61,28,10424581
1154000,START,86,28,10027327
1154000,START,62,28,10289301
1163000,FINISH,145,8,8612527
1170000,FINISH,79,4,12182656
1170000,START,149,4,12543296
1176000,FINISH,77,8,9582446
1176000,START,35,8,11419882
1176000,START,16,8,8986529
1191000,FINISH,50,20,8159611
1255000,FINISH,63,20,11697547
1255000,START,135,20,11069821
1255000,START,153,20,9214886
1258000,FINISH,28,16,8253909
1274000,FINISH,41,24,12265045
1274000,START,88,24,10707546
1274000,START,38,24,9607806
1278000,FINISH,6,12,8672705
1315000,FINISH,155,16,11184270
1315000,START,10,16,9841451
1315000,START,76,16,9912422
1326000,FINISH,86,28,10027327
1328000,FINISH,16,8,8986529
1331000,FINISH,154,12,11683882
1331000,START,24,12,11916176
1334000,FINISH,62,28,10289301
1334000,START,132,28,11200626
1334000,START,12,28,9162886
1380000,FINISH,35,8,11419882
1380000,START,134,8,11273100
1380000,START,114,8,8799665
1386000,START,45,32,10878107
1386000,START,139,32,9300566
1386000,START,27,36,12543491
1393000,FINISH,149,4,12543296
1393000,START,58,4,9394329
1393000,START,159,4,10920575
1410000,FINISH,153,20,9214886
1440000,INTERRUPT,24,12,11916176
1446000,FINISH,38,24,9607806
1451000,FINISH,135,20,11069821
1451000,START,152,20,9764753
1451000,START,69,20,10450600
1452000,START,129,12,12547717
1462000,FINISH,88,24,10707546
1462000,START,44,24,11059932
1462000,START,146,24,9273510
1481000,FINISH,10,16,9841451
1482000,FINISH,76,16,9912422
1482000,START,89,16,12548092
1494000,FINISH,12,28,9162886
1525000,FINISH,132,28,11200626
1525000,START,22,28,12547620
1529000,FINISH,114,8,8799665
1548000,FINISH,139,32,9300566
1554000,FINISH,58,4,9394329
1574000,FINISH,45,32,10878107
1574000,START,7,32,11352458
1574000,START,117,32,9060298
1582000,FINISH,134,8,11273100
1582000,START,140,8,10731156
1582000,START,30,8,9657794
1589000,FINISH,159,4,10920575
1589000,START,78,4,12552648
1601000,FINISH,27,36,12543491
1601000,START,96,36,10828333
1601000,START,70,36,9523927
1620000,FINISH,152,20,9764753
1630000,FINISH,146,24,9273510
1631000,FINISH,69,20,10450600
1631000,START,130,20,10445152
1631000,START,82,20,9623738
1648000,FINISH,44,24,11059932
1648000,START,51,24,12546842
1679000,FINISH,129,12,12547717
1679000,START,136,12,10960345
1679000,START,31,12,9229031
1694000,FINISH,89,16,12548092
1694000,START,9,16,12357114
1701000,FINISH,30,8,9657794
1726000,FINISH,117,32,9060298
1744000,FINISH,22,28,12547620
1744000,START,151,28,12550654
1759000,FINISH,7,32,11352458
1759000,START,33,32,11896061
1767000,FINISH,70,36,9523927
1768000,FINISH,140,8,10731156
1768000,START,138,8,11140485
1791000,FINISH,82,20,9623738
1795000,FINISH,96,36,10828333
1795000,START,40,36,10950623
1805000,FINISH,78,4,12552648
1805000,START,57,4,11855743
1813000,FINISH,130,20,10445152
1813000,START,59,20,12546482
1835000,FINISH,31,12,9229031
1861000,FINISH,51,24,12546842
1861000,START,125,24,11160080
1874000,FINISH,136,12,10960345
1874000,START,122,12,12537303
1911000,FINISH,9,16,12357114
1911000,START,99,16,12098702
1958000,FINISH,33,32,11896061
1958000,START,39,32,11506282
1967000,FINISH,151,28,12550654
1967000,START,81,28,12542848
1970000,FINISH,138,8,11140485
1970000,START,150,8,10569581
1970000,START,126,8,9869923
1984000,FINISH,40,36,10950623
1984000,START,141,36,11357884
2001000,INTERRUPT,39,32,11506282
2012000,FINISH,57,4,11855743
2012000,START,158,4,12326376
2026000,FINISH,59,20,12546482
2026000,START,144,20,10794100
2057000,FINISH,125,24,11160080
2057000,START,92,24,12035631
2101000,FINISH,122,12,12537303
2101000,START,52,12,11313061
2130000,FINISH,99,16,12098702
2130000,START,142,16,11494832
2147000,FINISH,126,8,9869923
2150000,FINISH,150,8,10569581
2150000,START,120,8,10012880
2150000,START,100,8,9768686
2186000,FINISH,81,28,12542848
2186000,START,97,28,10151058
2186000,START,15,28,9818475
2187000,FINISH,141,36,11357884
2187000,START,157,36,11169272
2207000,FINISH,144,20,10794100
2207000,START,3,20,12547303
2229000,FINISH,158,4,12326376
2229000,START,74,4,12533815
2272000,FINISH,92,24,12035631
2272000,START,24,24,11916176
2295000,FINISH,52,12,11313061
2295000,START,102,12,11503522
2326000,FINISH,120,8,10012880
2330000,FINISH,100,8,9768686
2330000,START,131,8,10931236
2337000,FINISH,142,16,11494832
2337000,START,113,16,11761672
2352000,FINISH,15,28,9818475
2370000,FINISH,97,28,10151058
2370000,START,118,28,12543115
2389000,FINISH,157,36,11169272
2389000,START,47,36,11975936
2431000,FINISH,3,20,12547303
2431000,START,39,20,11506282
2447000,FINISH,74,4,12533815
2447000,START,119,4,11126549
2471000,FINISH,24,24,11916176
2471000,START,128,24,11603040
2509000,FINISH,102,12,11503522
2509000,START,124,12,10376612
2513000,FINISH,131,8,10931236
2513000,START,123,8,11619425
2549000,FINISH,113,16,11761672
2590000,FINISH,47,36,11975936
2598000,FINISH,118,28,12543115
2633000,FINISH,39,20,11506282
2640000,FINISH,119,4,11126549
2663000,FINISH,128,24,11603040
2694000,FINISH,124,12,10376612
2721000,FINISH,123,8,11619425
