timestamp,event_type,task_id,gpu_id,npts
2000,START,99,4,12098702
2000,START,127,4,8219772
2000,START,148,8,12548512
2000,START,65,8,5389737
2000,START,131,12,10931236
2000,START,145,12,8612527
2000,START,69,16,10450600
2000,START,64,16,8505899
24000,START,129,20,12547717
24000,START,56,20,7904790
94000,FINISH,65,8,5389737
114000,START,75,24,9381209
114000,START,104,24,8010020
120000,START,100,28,9768686
120000,START,8,28,9829585
146000,FINISH,127,4,8219772
147000,FINISH,64,16,8505899
156000,FINISH,145,12,8612527
164000,FINISH,56,20,7904790
182000,FINISH,69,16,10450600
182000,START,67,16,10150364
182000,START,15,16,9818475
185000,FINISH,131,12,10931236
185000,START,17,12,8890203
185000,START,35,12,11419882
192000,START,16,32,8986529
192000,START,135,32,11069821
217000,FINISH,148,8,12548512
217000,START,114,8,8799665
217000,START,40,8,10950623
221000,FINISH,99,4,12098702
221000,START,81,4,12542848
221000,START,87,4,7008169
251000,FINISH,129,20,12547717
251000,FINISH,104,24,8010020
251000,START,124,20,10376612
251000,START,82,20,9623738
272000,INTERRUPT,114,8,8799665
272000,INTERRUPT,40,8,10950623
274000,FINISH,8,28,9829585
280000,FINISH,75,24,9381209
280000,START,134,24,11273100
280000,START,95,24,7968444
300000,FINISH,100,28,9768686
300000,START,80,28,8499342
300000,START,86,28,10027327
330000,START,126,8,9869923
330000,START,83,8,10262333
338000,FINISH,17,12,8890203
341000,FINISH,87,4,7008169
344000,FINISH,16,32,8986529
348000,FINISH,15,16,9818475
355000,FINISH,67,16,10150364
355000,START,107,16,11412193
355000,START,4,16,7503288
388000,FINISH,135,32,11069821
388000,START,101,32,8108685
388000,START,34,32,11702256
389000,FINISH,35,12,11419882
389000,START,142,12,11494832
389000,START,5,12,8918796
411000,FINISH,82,20,9623738
427000,FINISH,95,24,7968444
436000,FINISH,124,20,10376612
436000,START,30,20,9657794
436000,START,137,20,7991280
440000,FINISH,81,4,12542848
440000,START,112,4,8112870
440000,START,155,4,11184270
448000,FINISH,80,28,8499342
472000,FINISH,86,28,10027327
472000,START,21,28,10766274
472000,START,84,28,8715480
474000,INTERRUPT,30,20,9657794
474000,INTERRUPT,137,20,7991280
482000,FINISH,134,24,11273100
482000,START,53,24,11435672
482000,START,48,24,8531928
489000,FINISH,4,16,7503288
504000,FINISH,83,8,10262333
507000,FINISH,126,8,9869923
507000,START,132,8,11200626
507000,START,114,8,8799665
533000,FINISH,101,32,8108685
534000,START,76,20,9912422
534000,START,146,20,9273510
550000,FINISH,107,16,11412193
550000,START,7,16,11352458
550000,START,94,16,8006598
551000,FINISH,5,12,8918796
577000,FINISH,112,4,8112870
585000,FINISH,34,32,11702256
585000,START,91,32,9851823
585000,START,28,32,8253909
596000,FINISH,142,12,11494832
596000,START,60,12,10261200
596000,START,46,12,9370337
619000,FINISH,84,28,8715480
635000,FINISH,48,24,8531928
636000,FINISH,155,4,11184270
636000,START,141,4,11357884
636000,START,6,4,8672705
654000,FINISH,21,28,10766274
654000,START,3,28,12547303
654000,START,23,28,7830895
656000,FINISH,114,8,8799665
665000,INTERRUPT,91,32,9851823
665000,INTERRUPT,28,32,8253909
677000,FINISH,53,24,11435672
677000,START,57,24,11855743
677000,START,50,24,8159611
692000,FINISH,94,16,8006598
698000,FINISH,132,8,11200626
698000,START,78,8,12552648
701000,FINISH,76,20,9912422
702000,FINISH,146,20,9273510
702000,START,40,20,10950623
702000,START,117,20,9060298
735000,FINISH,7,16,11352458
735000,START,11,16,11607666
735000,START,0,16,8727197
754000,FINISH,46,12,9370337
768000,FINISH,60,12,10261200
768000,START,38,12,9607806
768000,START,140,12,10731156
786000,FINISH,6,4,8672705
792000,FINISH,23,28,7830895
820000,FINISH,50,24,8159611
839000,FINISH,141,4,11357884
839000,START,31,4,9229031
839000,START,45,4,10878107
854000,FINISH,117,20,9060298
878000,FINISH,3,28,12547303
878000,START,154,28,11683882
878000,START,36,28,8226717
881000,FINISH,0,16,8727197
882000,INTERRUPT,154,28,11683882
882000,INTERRUPT,36,28,8226717
884000,FINISH,57,24,11855743
884000,START,154,24,11683882
884000,START,137,24,7991280
891000,FINISH,40,20,10950623
891000,START,63,20,11697547
891000,START,20,20,8145837
914000,FINISH,78,8,12552648
914000,START,109,8,11329692
914000,START,19,8,8845199
935000,FINISH,11,16,11607666
935000,START,42,16,12542987
940000,FINISH,38,12,9607806
954000,FINISH,140,12,10731156
954000,START,33,12,11896061
954000,START,28,12,8253909
978000,START,54,28,10809605
978000,START,105,28,9128248
995000,FINISH,31,4,9229031
1015000,FINISH,137,24,7991280
1027000,FINISH,45,4,10878107
1027000,START,93,4,9397782
1027000,START,111,4,9482563
1031000,FINISH,20,20,8145837
1067000,FINISH,19,8,8845199
1087000,FINISH,154,24,11683882
1087000,START,72,24,10552608
1087000,START,71,24,8686886
1093000,FINISH,28,12,8253909
1098000,FINISH,63,20,11697547
1098000,START,58,20,9394329
1098000,START,61,20,10424581
1117000,FINISH,109,8,11329692
1117000,START,103,8,11624736
1117000,START,156,8,8713996
1131000,FINISH,54,28,10809605
1135000,FINISH,105,28,9128248
1135000,START,90,28,12547588
1153000,FINISH,33,12,11896061
1153000,START,89,12,12548092
1154000,FINISH,42,16,12542987
1154000,START,66,16,9337895
1154000,START,159,16,10920575
1193000,FINISH,111,4,9482563
1201000,FINISH,93,4,9397782
1201000,START,10,4,9841451
1201000,START,139,4,9300566
1230000,FINISH,72,24,10552608
1235000,FINISH,71,24,8686886
1235000,START,147,24,9463677
1235000,START,143,24,9207969
1259000,FINISH,58,20,9394329
1268000,FINISH,156,8,8713996
1272000,FINISH,90,28,12547588
1272000,START,120,28,10012880
1272000,START,97,28,10151058
1274000,FINISH,61,20,10424581
1274000,START,153,20,9214886
1274000,START,85,20,9168905
1312000,FINISH,66,16,9337895
1321000,FINISH,103,8,11624736
1321000,START,116,8,10181515
1321000,START,12,8,9162886
1350000,FINISH,159,16,10920575
1350000,START,18,16,12089929
1350000,START,36,16,8226717
1363000,FINISH,139,4,9300566
1365000,FINISH,89,12,12548092
1365000,START,51,12,12546842
1367000,FINISH,10,4,9841451
1367000,START,74,4,12533815
1386000,START,136,32,10960345
1386000,START,68,32,9112263
1386000,START,26,36,9748148
1386000,START,62,36,10289301
1403000,FINISH,147,24,9463677
1405000,FINISH,143,24,9207969
1405000,START,128,24,11603040
1428000,FINISH,85,20,9168905
1429000,FINISH,153,20,9214886
1429000,START,73,20,11582976
1440000,INTERRUPT,51,12,12546842
1448000,FINISH,120,28,10012880
1452000,START,125,12,11160080
1452000,START,14,12,8881830
1456000,FINISH,97,28,10151058
1456000,START,133,28,11415893
1481000,FINISH,12,8,9162886
1490000,FINISH,36,16,8226717
1499000,FINISH,116,8,10181515
1499000,START,24,8,11916176
1544000,FINISH,68,32,9112263
1552000,FINISH,26,36,9748148
1556000,FINISH,18,16,12089929
1556000,START,44,16,11059932
1556000,START,106,16,9138707
1566000,FINISH,62,36,10289301
1566000,START,39,36,11506282
1577000,FINISH,73,20,11582976
1577000,START,29,20,12197790
1581000,FINISH,136,32,10960345
1581000,START,22,32,12547620
1585000,FINISH,74,4,12533815
1585000,START,52,4,11313061
1597000,FINISH,128,24,11603040
1597000,START,43,24,11034601
1602000,FINISH,14,12,8881830
1640000,FINISH,133,28,11415893
1640000,START,158,28,12326376
1648000,FINISH,125,12,11160080
1648000,START,55,12,11919815
1698000,FINISH,24,8,11916176
1698000,START,110,8,11339716
1713000,FINISH,106,16,9138707
1742000,FINISH,44,16,11059932
1742000,START,91,16,9851823
1742000,START,30,16,9657794
1768000,FINISH,39,36,11506282
1768000,START,49,36,9883644
1768000,START,150,36,10569581
1779000,FINISH,52,4,11313061
1779000,START,144,4,10794100
1779000,START,77,4,9582446
