timestamp,event_type,task_id,gpu_id,npts
2000,START,124,4,10376612
2000,START,87,4,7008169
2000,START,159,8,10920575
2000,START,23,8,7830895
2000,START,81,12,12542848
2000,START,56,12,7904790
2000,START,40,16,10950623
2000,START,20,16,8145837
24000,START,144,20,10794100
24000,START,143,20,9207969
114000,START,137,24,7991280
114000,START,24,24,11916176
120000,START,9,28,12357114
120000,START,104,28,8010020
122000,FINISH,87,4,7008169
140000,FINISH,23,8,7830895
142000,FINISH,56,12,7904790
142000,FINISH,20,16,8145837
187000,FINISH,124,4,10376612
187000,START,19,4,8845199
187000,START,32,4,11126248
191000,FINISH,40,16,10950623
191000,START,72,16,10552608
191000,START,12,16,9162886
192000,START,70,32,9523927
192000,START,96,32,10828333
194000,FINISH,143,20,9207969
198000,FINISH,159,8,10920575
198000,START,74,8,12533815
198000,START,65,8,5389737
205000,FINISH,144,20,10794100
205000,START,73,20,11582976
205000,START,36,20,8226717
221000,FINISH,81,12,12542848
221000,START,68,12,9112263
221000,START,66,12,9337895
245000,FINISH,137,24,7991280
257000,FINISH,104,28,8010020
272000,INTERRUPT,74,8,12533815
272000,INTERRUPT,65,8,5389737
313000,FINISH,24,24,11916176
313000,START,151,24,12550654
313000,START,65,24,5389737
330000,START,42,8,12542987
330000,START,4,8,7503288
334000,FINISH,72,16,10552608
337000,FINISH,9,28,12357114
337000,START,30,28,9657794
337000,START,38,28,9607806
340000,FINISH,19,4,8845199
345000,FINISH,36,20,8226717
351000,FINISH,12,16,9162886
351000,START,80,16,8499342
351000,START,5,16,8918796
353000,FINISH,73,20,11582976
353000,START,74,20,12533815
358000,FINISH,70,32,9523927
379000,FINISH,68,12,9112263
379000,FINISH,66,12,9337895
379000,START,134,12,11273100
379000,START,71,12,8686886
384000,FINISH,32,4,11126248
384000,START,53,4,11435672
384000,START,50,4,8159611
386000,FINISH,96,32,10828333
386000,START,41,32,12265045
386000,START,95,32,7968444
405000,FINISH,65,24,5389737
456000,FINISH,30,28,9657794
464000,FINISH,4,8,7503288
474000,INTERRUPT,74,20,12533815
499000,FINISH,80,16,8499342
509000,FINISH,38,28,9607806
509000,START,90,28,12547588
513000,FINISH,5,16,8918796
513000,START,52,16,11313061
513000,START,14,16,8881830
527000,FINISH,71,12,8686886
527000,FINISH,50,4,8159611
533000,FINISH,95,32,7968444
534000,START,130,20,10445152
534000,START,153,20,9214886
536000,FINISH,151,24,12550654
536000,START,67,24,10150364
536000,START,48,24,8531928
549000,FINISH,42,8,12542987
549000,START,26,8,9748148
549000,START,58,8,9394329
579000,FINISH,53,4,11435672
579000,START,17,4,8890203
579000,START,44,4,11059932
581000,FINISH,134,12,11273100
581000,START,7,12,11352458
581000,START,117,12,9060298
603000,FINISH,41,32,12265045
603000,START,149,32,12543296
646000,FINISH,90,28,12547588
646000,START,21,28,10766274
646000,START,6,28,8672705
663000,FINISH,14,16,8881830
665000,INTERRUPT,149,32,12543296
689000,FINISH,153,20,9214886
689000,FINISH,48,24,8531928
707000,FINISH,52,16,11313061
707000,START,75,16,9381209
707000,START,49,16,9883644
709000,FINISH,67,24,10150364
709000,START,85,24,9168905
709000,START,0,24,8727197
710000,FINISH,58,8,9394329
715000,FINISH,26,8,9748148
715000,START,74,8,12533815
716000,FINISH,130,20,10445152
716000,START,113,20,11761672
716000,START,127,20,8219772
732000,FINISH,17,4,8890203
733000,FINISH,117,12,9060298
765000,FINISH,44,4,11059932
765000,START,11,4,11607666
765000,START,156,4,8713996
766000,FINISH,7,12,11352458
766000,START,109,12,11329692
766000,START,84,12,8715480
