timestamp,event_type,task_id,gpu_id,npts
1540000,FINISH,158,4,12326376
1540000,START,22,4,12547620
1546000,FINISH,82,36,9623738
1556000,FINISH,143,36,9207969
1556000,START,62,36,10289301
1556000,START,93,36,9397782
1591000,FINISH,27,20,12543491
1591000,START,45,20,10878107
1591000,START,153,20,9214886
1593000,FINISH,57,32,11855743
1593000,START,90,32,12547588
1604000,FINISH,67,24,10150364
1615000,FINISH,97,24,10151058
1615000,START,12,24,9162886
1615000,START,135,24,11069821
1675000,FINISH,151,12,12550654
1675000,START,75,12,9381209
1675000,START,136,12,10960345
1681000,FINISH,35,8,11419882
1681000,START,149,8,12543296
1684000,FINISH,26,16,9748148
1703000,FINISH,124,16,10376612
1703000,START,15,16,9818475
1703000,START,66,16,9337895
1730000,FINISH,93,36,9397782
1730000,FINISH,90,32,12547588
1730000,START,116,32,10181515
1730000,START,30,32,9657794
1736000,FINISH,62,36,10289301
1736000,START,18,36,12089929
1746000,FINISH,153,20,9214886
1750000,FINISH,74,28,12533815
1750000,START,69,28,10450600
1750000,START,70,28,9523927
1759000,FINISH,22,4,12547620
1759000,START,141,4,11357884
1775000,FINISH,12,24,9162886
1779000,FINISH,45,20,10878107
1779000,START,73,20,11582976
1811000,FINISH,135,24,11069821
1811000,START,78,24,12552648
1841000,FINISH,75,12,9381209
1849000,FINISH,30,32,9657794
1861000,FINISH,66,16,9337895
1869000,FINISH,15,16,9818475
1869000,START,11,16,11607666
1870000,FINISH,136,12,10960345
1870000,START,98,12,11041144
1904000,FINISH,149,8,12543296
1904000,START,144,8,10794100
1908000,FINISH,116,32,10181515
1908000,START,108,32,12504656
1916000,FINISH,70,28,9523927
1927000,FINISH,73,20,11582976
1927000,START,34,20,11702256
1930000,FINISH,69,28,10450600
1930000,START,44,28,11059932
1942000,FINISH,18,36,12089929
1942000,START,7,36,11352458
1962000,FINISH,141,4,11357884
1962000,START,33,4,11896061
2001000,INTERRUPT,108,32,12504656
2027000,FINISH,78,24,12552648
2027000,START,140,24,10731156
2069000,FINISH,11,16,11607666
2069000,FINISH,98,12,11041144
2069000,START,9,12,12357114
2069000,START,76,16,9912422
2085000,FINISH,144,8,10794100
2085000,START,108,8,12504656
2116000,FINISH,44,28,11059932
2116000,START,119,28,11126549
2124000,FINISH,34,20,11702256
2124000,START,134,20,11273100
2127000,FINISH,7,36,11352458
2127000,START,123,36,11619425
2161000,FINISH,33,4,11896061
2161000,START,109,4,11329692
2213000,FINISH,140,24,10731156
2213000,START,115,24,11363352
2236000,FINISH,76,16,9912422
2236000,START,55,16,11919815
2286000,FINISH,9,12,12357114
2286000,START,39,12,11506282
2304000,FINISH,108,8,12504656
2304000,START,92,8,12035631
2309000,FINISH,119,28,11126549
2309000,START,118,28,12543115
2326000,FINISH,134,20,11273100
2326000,START,125,20,11160080
2335000,FINISH,123,36,11619425
2335000,START,138,36,11140485
2364000,FINISH,109,4,11329692
2364000,START,81,4,12542848
2411000,FINISH,115,24,11363352
2411000,START,24,24,11916176
2442000,FINISH,55,16,11919815
2442000,START,103,16,11624736
2488000,FINISH,39,12,11506282
2488000,START,132,12,11200626
2519000,FINISH,92,8,12035631
2519000,START,47,8,11975936
2522000,FINISH,125,20,11160080
2522000,START,107,20,11412193
2537000,FINISH,118,28,12543115
2537000,FINISH,138,36,11140485
2537000,START,41,28,12265045
2537000,START,113,36,11761672
2583000,FINISH,81,4,12542848
2583000,START,3,4,12547303
2610000,FINISH,24,24,11916176
2610000,START,96,24,10828333
2646000,FINISH,103,16,11624736
2646000,START,37,16,12544293
2679000,FINISH,132,12,11200626
2679000,START,99,12,12098702
2717000,FINISH,107,20,11412193
2720000,FINISH,47,8,11975936
2749000,FINISH,113,36,11761672
2754000,FINISH,41,28,12265045
2804000,FINISH,96,24,10828333
2807000,FINISH,3,4,12547303
2863000,FINISH,37,16,12544293
2898000,FINISH,99,12,12098702
