timestamp,event_type,task_id,gpu_id,npts
2000,START,45,4,10878107
2000,START,93,4,9397782
2000,START,6,8,8672705
2000,START,11,8,11607666
2000,START,57,12,11855743
2000,START,65,12,5389737
2000,START,17,16,8890203
2000,START,8,16,9829585
24000,START,15,20,9818475
24000,START,153,20,9214886
94000,FINISH,65,12,5389737
114000,START,108,24,12504656
114000,START,4,24,7503288
120000,START,74,28,12533815
120000,START,56,28,7904790
152000,FINISH,6,8,8672705
155000,FINISH,17,16,8890203
156000,FINISH,8,16,9829585
156000,START,29,16,12197790
156000,START,87,16,7008169
176000,FINISH,93,4,9397782
179000,FINISH,153,20,9214886
190000,FINISH,45,4,10878107
190000,FINISH,15,20,9818475
190000,START,78,4,12552648
190000,START,23,4,7830895
190000,START,99,20,12098702
190000,START,104,20,8010020
192000,START,137,32,7991280
192000,START,35,32,11419882
202000,FINISH,11,8,11607666
202000,START,38,8,9607806
202000,START,100,8,9768686
209000,FINISH,57,12,11855743
209000,START,24,12,11916176
209000,START,20,12,8145837
248000,FINISH,4,24,7503288
260000,FINISH,56,28,7904790
272000,INTERRUPT,38,8,9607806
272000,INTERRUPT,100,8,9768686
276000,FINISH,87,16,7008169
323000,FINISH,137,32,7991280
327000,FINISH,104,20,8010020
328000,FINISH,23,4,7830895
330000,START,150,8,10569581
330000,START,111,8,9482563
333000,FINISH,108,24,12504656
333000,START,32,24,11126248
333000,START,95,24,7968444
338000,FINISH,74,28,12533815
338000,START,10,28,9841451
338000,START,61,28,10424581
349000,FINISH,20,12,8145837
368000,FINISH,29,16,12197790
368000,START,76,16,9912422
368000,START,50,16,8159611
396000,FINISH,35,32,11419882
396000,START,80,32,8499342
396000,START,7,32,11352458
406000,FINISH,78,4,12552648
406000,START,84,4,8715480
406000,START,159,4,10920575
408000,FINISH,24,12,11916176
408000,START,51,12,12546842
409000,FINISH,99,20,12098702
409000,START,2,20,12542930
474000,INTERRUPT,2,20,12542930
480000,FINISH,95,24,7968444
496000,FINISH,111,8,9482563
504000,FINISH,10,28,9841451
510000,FINISH,150,8,10569581
510000,START,33,8,11896061
510000,START,48,8,8531928
511000,FINISH,50,16,8159611
514000,FINISH,61,28,10424581
514000,START,39,28,11506282
514000,START,64,28,8505899
530000,FINISH,32,24,11126248
530000,START,36,24,8226717
530000,START,136,24,10960345
534000,START,18,20,12089929
534000,START,112,20,8112870
535000,FINISH,76,16,9912422
535000,START,90,16,12547588
544000,FINISH,80,32,8499342
553000,FINISH,84,4,8715480
581000,FINISH,7,32,11352458
581000,START,138,32,11140485
581000,START,28,32,8253909
602000,FINISH,159,4,10920575
602000,START,152,4,9764753
602000,START,147,4,9463677
621000,FINISH,51,12,12546842
621000,START,101,12,8108685
621000,START,132,12,11200626
659000,FINISH,64,28,8505899
663000,FINISH,48,8,8531928
665000,INTERRUPT,138,32,11140485
665000,INTERRUPT,28,32,8253909
670000,FINISH,36,24,8226717
671000,FINISH,112,20,8112870
672000,FINISH,90,16,12547588
672000,START,13,16,11440466
672000,START,19,16,8845199
709000,FINISH,33,8,11896061
709000,START,82,8,9623738
709000,START,72,8,10552608
716000,FINISH,39,28,11506282
716000,START,42,28,12542987
725000,FINISH,136,24,10960345
725000,START,30,24,9657794
725000,START,86,24,10027327
740000,FINISH,18,20,12089929
740000,START,107,20,11412193
740000,START,28,20,8253909
766000,FINISH,101,12,8108685
770000,FINISH,147,4,9463677
771000,FINISH,152,4,9764753
771000,START,63,4,11697547
771000,START,156,4,8713996
812000,FINISH,132,12,11200626
812000,START,155,12,11184270
812000,START,14,12,8881830
825000,FINISH,19,16,8845199
844000,FINISH,30,24,9657794
852000,FINISH,72,8,10552608
864000,FINISH,13,16,11440466
864000,START,49,16,9883644
864000,START,106,16,9138707
869000,FINISH,82,8,9623738
869000,START,157,8,11169272
869000,START,31,8,9229031
879000,FINISH,28,20,8253909
882000,INTERRUPT,42,28,12542987
897000,FINISH,86,24,10027327
897000,START,154,24,11683882
897000,START,0,24,8727197
922000,FINISH,156,4,8713996
935000,FINISH,107,20,11412193
935000,START,55,20,11919815
935000,START,94,20,8006598
962000,FINISH,14,12,8881830
978000,FINISH,63,4,11697547
978000,START,133,4,11415893
978000,START,145,4,8612527
978000,START,79,28,12182656
978000,START,127,28,8219772
1008000,FINISH,155,12,11184270
1008000,START,89,12,12548092
1021000,FINISH,106,16,9138707
1025000,FINISH,31,8,9229031
1033000,FINISH,49,16,9883644
1033000,START,141,16,11357884
1033000,START,71,16,8686886
1043000,FINISH,0,24,8727197
1071000,FINISH,157,8,11169272
1071000,START,119,8,11126549
1071000,START,85,8,9168905
1077000,FINISH,94,20,8006598
1100000,FINISH,154,24,11683882
1100000,START,68,24,9112263
1100000,START,96,24,10828333
1122000,FINISH,127,28,8219772
1132000,FINISH,145,4,8612527
1141000,FINISH,55,20,11919815
1141000,START,25,20,10599782
1141000,START,75,20,9381209
1162000,FINISH,133,4,11415893
1162000,START,120,4,10012880
1162000,START,97,4,10151058
1181000,FINISH,71,16,8686886
1186000,FINISH,79,28,12182656
1186000,START,12,28,9162886
1186000,START,139,28,9300566
1220000,FINISH,89,12,12548092
1220000,START,126,12,9869923
1220000,START,38,12,9607806
1225000,FINISH,85,8,9168905
1236000,FINISH,141,16,11357884
1236000,START,77,16,9582446
1236000,START,114,16,8799665
1258000,FINISH,68,24,9112263
1264000,FINISH,119,8,11126549
1264000,START,146,8,9273510
1264000,START,5,8,8918796
1294000,FINISH,96,24,10828333
1294000,START,41,24,12265045
1307000,FINISH,75,20,9381209
1320000,FINISH,25,20,10599782
1320000,START,9,20,12357114
1338000,FINISH,120,4,10012880
1346000,FINISH,97,4,10151058
1346000,FINISH,12,28,9162886
1346000,START,109,4,11329692
1346000,START,16,4,8986529
1348000,FINISH,139,28,9300566
